Benchmark                       (chunkMaxElements)  (chunkMinElements)  (dataCount)  (staticChunkAmount)  (useChangeFile)   Mode  Cnt     Score     Error  Units
StaticBenchmark.loadGame                       N/A                 N/A       100000                   50            false  thrpt   10     3.657 ±   0.126  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A         1000                    2            false  thrpt   10   165.405 ±   3.408  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A         1000                   10            false  thrpt   10    72.882 ±   0.915  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A         1000                   50            false  thrpt   10     5.029 ±   0.079  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                    2             true  thrpt   10     0.665 ±   0.021  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                    2            false  thrpt   10     0.860 ±   0.020  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                   10             true  thrpt   10     0.700 ±   0.005  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                   10            false  thrpt   10     0.922 ±   0.009  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                   50             true  thrpt   10     0.607 ±   0.029  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A        10000                   50            false  thrpt   10     0.754 ±   0.061  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                    2             true  thrpt   10     0.006 ±   0.001  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                    2            false  thrpt   10     0.006 ±   0.002  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                   10             true  thrpt   10     0.006 ±   0.001  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                   10            false  thrpt   10     0.006 ±   0.002  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                   50             true  thrpt   10     0.007 ±   0.001  ops/s
StaticBenchmark.movePlayers                    N/A                 N/A       100000                   50            false  thrpt   10     0.006 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A         1000                    2            false  thrpt   10   130.652 ±   2.174  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A         1000                   10            false  thrpt   10    73.612 ±   1.275  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A         1000                   50            false  thrpt   10     4.813 ±   0.484  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A        10000                    2            false  thrpt   10     1.345 ±   0.018  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A        10000                   10            false  thrpt   10     1.430 ±   0.016  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A        10000                   50            false  thrpt   10     1.137 ±   0.034  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                    2             true  thrpt   10     0.006 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                    2            false  thrpt   10     0.005 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                   10             true  thrpt   10     0.008 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                   10            false  thrpt   10     0.007 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                   50             true  thrpt   10     0.011 ±   0.001  ops/s
StaticBenchmark.removePlayers                  N/A                 N/A       100000                   50            false  thrpt   10     0.009 ±   0.001  ops/s
